Month,Day,Time,Entrances
Aug,Tuesday,05:45-05:59AM,8
Aug,Tuesday,06:00-06:15AM,4
Aug,Tuesday,06:15-06:30AM,2
Aug,Tuesday,06:30-06:45AM,2
Aug,Tuesday,06:45-06:59AM,3
Aug,Tuesday,07:00-07:15AM,1
Aug,Tuesday,07:15-07:30AM,5
Aug,Tuesday,07:30-07:45AM,10
Aug,Tuesday,07:45-07:59AM,4
Aug,Tuesday,08:00-08:15AM,1
Aug,Tuesday,08:15-08:30AM,5
Aug,Tuesday,08:30-08:45AM,6
Aug,Tuesday,08:45-08:59AM,11
Aug,Tuesday,09:00-09:15AM,3
Aug,Tuesday,09:15-09:30AM,6
Aug,Tuesday,09:30-09:45AM,12
Aug,Tuesday,09:45-09:59AM,7
Aug,Tuesday,10:00-10:15AM,9
Aug,Tuesday,10:15-10:30AM,17
Aug,Tuesday,10:30-10:45AM,8
Aug,Tuesday,10:45-10:59AM,11
Aug,Tuesday,11:00-11:15AM,15
Aug,Tuesday,11:15-11:30AM,14
Aug,Tuesday,11:30-11:45AM,13
Aug,Tuesday,11:45-11:59AM,14
Aug,Tuesday,12:00-12:15PM,23
Aug,Tuesday,12:15-12:30PM,21
Aug,Tuesday,12:30-12:45PM,22
Aug,Tuesday,12:45-12:59PM,17
Aug,Tuesday,01:00-01:15PM,11
Aug,Tuesday,01:15-01:30PM,11
Aug,Tuesday,01:30-01:45PM,7
Aug,Tuesday,01:45-01:59PM,15
Aug,Tuesday,02:00-02:15PM,19
Aug,Tuesday,02:15-02:30PM,11
Aug,Tuesday,02:30-02:45PM,12
Aug,Tuesday,02:45-02:59PM,18
Aug,Tuesday,03:00-03:15PM,18
Aug,Tuesday,03:15-03:30PM,22
Aug,Tuesday,03:30-03:45PM,24
Aug,Tuesday,03:45-03:59PM,23
Aug,Tuesday,04:00-04:15PM,17
Aug,Tuesday,04:15-04:30PM,9
Aug,Tuesday,04:30-04:45PM,14
Aug,Tuesday,04:45-04:59PM,11
Aug,Tuesday,05:00-05:15PM,30
Aug,Tuesday,05:15-05:30PM,45
Aug,Tuesday,05:30-05:45PM,13
Aug,Tuesday,05:45-05:59PM,22
Aug,Tuesday,06:00-06:15PM,18
Aug,Tuesday,06:15-06:30PM,26
Aug,Tuesday,06:30-06:45PM,16
Aug,Tuesday,06:45-06:59PM,13
Aug,Tuesday,07:00-07:15PM,28
Aug,Tuesday,07:15-07:30PM,18
Aug,Tuesday,07:30-07:45PM,28
Aug,Tuesday,07:45-07:59PM,23
Aug,Tuesday,08:00-08:15PM,22
Aug,Tuesday,08:15-08:30PM,8
Aug,Tuesday,08:30-08:45PM,31
Aug,Tuesday,08:45-08:59PM,18
Aug,Tuesday,09:00-09:15PM,4
Aug,Tuesday,09:15-09:30PM,8
Aug,Tuesday,09:30-09:45PM,3
Aug,Wednesday,05:45-05:59AM,4
Aug,Wednesday,06:00-06:15AM,9
Aug,Wednesday,06:15-06:30AM,10
Aug,Wednesday,06:30-06:45AM,4
Aug,Wednesday,06:45-06:59AM,2
Aug,Wednesday,07:00-07:15AM,5
Aug,Wednesday,07:15-07:30AM,9
Aug,Wednesday,07:30-07:45AM,2
Aug,Wednesday,07:45-07:59AM,1
Aug,Wednesday,08:00-08:15AM,2
Aug,Wednesday,08:15-08:30AM,4
Aug,Wednesday,08:30-08:45AM,9
Aug,Wednesday,08:45-08:59AM,2
Aug,Wednesday,09:00-09:15AM,3
Aug,Wednesday,09:15-09:30AM,6
Aug,Wednesday,09:30-09:45AM,14
Aug,Wednesday,09:45-09:59AM,9
Aug,Wednesday,10:00-10:15AM,3
Aug,Wednesday,10:15-10:30AM,9
Aug,Wednesday,10:30-10:45AM,7
Aug,Wednesday,10:45-10:59AM,17
Aug,Wednesday,11:00-11:15AM,17
Aug,Wednesday,11:15-11:30AM,12
Aug,Wednesday,11:30-11:45AM,13
Aug,Wednesday,11:45-11:59AM,11
Aug,Wednesday,12:00-12:15PM,17
Aug,Wednesday,12:15-12:30PM,13
Aug,Wednesday,12:30-12:45PM,16
Aug,Wednesday,12:45-12:59PM,20
Aug,Wednesday,01:00-01:15PM,12
Aug,Wednesday,01:15-01:30PM,17
Aug,Wednesday,01:30-01:45PM,16
Aug,Wednesday,01:45-01:59PM,16
Aug,Wednesday,02:00-02:15PM,13
Aug,Wednesday,02:15-02:30PM,12
Aug,Wednesday,02:30-02:45PM,9
Aug,Wednesday,02:45-02:59PM,8
Aug,Wednesday,03:00-03:15PM,8
Aug,Wednesday,03:15-03:30PM,17
Aug,Wednesday,03:30-03:45PM,12
Aug,Wednesday,03:45-03:59PM,25
Aug,Wednesday,04:00-04:15PM,11
Aug,Wednesday,04:15-04:30PM,20
Aug,Wednesday,04:30-04:45PM,12
Aug,Wednesday,04:45-04:59PM,23
Aug,Wednesday,05:00-05:15PM,30
Aug,Wednesday,05:15-05:30PM,28
Aug,Wednesday,05:30-05:45PM,15
Aug,Wednesday,05:45-05:59PM,16
Aug,Wednesday,06:00-06:15PM,14
Aug,Wednesday,06:15-06:30PM,26
Aug,Wednesday,06:30-06:45PM,24
Aug,Wednesday,06:45-06:59PM,16
Aug,Wednesday,07:00-07:15PM,14
Aug,Wednesday,07:15-07:30PM,16
Aug,Wednesday,07:30-07:45PM,23
Aug,Wednesday,07:45-07:59PM,16
Aug,Wednesday,08:00-08:15PM,20
Aug,Wednesday,08:15-08:30PM,16
Aug,Wednesday,08:30-08:45PM,18
Aug,Wednesday,08:45-08:59PM,12
Aug,Wednesday,09:00-09:15PM,11
Aug,Wednesday,09:15-09:30PM,7
Aug,Wednesday,09:30-09:45PM,2
Aug,Thursday,05:45-05:59AM,3
Aug,Thursday,06:00-06:15AM,10
Aug,Thursday,06:15-06:30AM,6
Aug,Thursday,06:30-06:45AM,8
Aug,Thursday,06:45-06:59AM,2
Aug,Thursday,07:00-07:15AM,7
Aug,Thursday,07:15-07:30AM,2
Aug,Thursday,07:30-07:45AM,2
Aug,Thursday,07:45-07:59AM,4
Aug,Thursday,08:00-08:15AM,7
Aug,Thursday,08:15-08:30AM,2
Aug,Thursday,08:30-08:45AM,6
Aug,Thursday,08:45-08:59AM,5
Aug,Thursday,09:00-09:15AM,6
Aug,Thursday,09:15-09:30AM,12
Aug,Thursday,09:30-09:45AM,6
Aug,Thursday,09:45-09:59AM,8
Aug,Thursday,10:00-10:15AM,7
Aug,Thursday,10:15-10:30AM,4
Aug,Thursday,10:30-10:45AM,9
Aug,Thursday,10:45-10:59AM,9
Aug,Thursday,11:00-11:15AM,18
Aug,Thursday,11:15-11:30AM,11
Aug,Thursday,11:30-11:45AM,12
Aug,Thursday,11:45-11:59AM,12
Aug,Thursday,12:00-12:15PM,27
Aug,Thursday,12:15-12:30PM,18
Aug,Thursday,12:30-12:45PM,19
Aug,Thursday,12:45-12:59PM,15
Aug,Thursday,01:00-01:15PM,17
Aug,Thursday,01:15-01:30PM,12
Aug,Thursday,01:30-01:45PM,15
Aug,Thursday,01:45-01:59PM,16
Aug,Thursday,02:00-02:15PM,13
Aug,Thursday,02:15-02:30PM,12
Aug,Thursday,02:30-02:45PM,17
Aug,Thursday,02:45-02:59PM,16
Aug,Thursday,03:00-03:15PM,14
Aug,Thursday,03:15-03:30PM,16
Aug,Thursday,03:30-03:45PM,7
Aug,Thursday,03:45-03:59PM,21
Aug,Thursday,04:00-04:15PM,15
Aug,Thursday,04:15-04:30PM,13
Aug,Thursday,04:30-04:45PM,17
Aug,Thursday,04:45-04:59PM,12
Aug,Thursday,05:00-05:15PM,21
Aug,Thursday,05:15-05:30PM,29
Aug,Thursday,05:30-05:45PM,23
Aug,Thursday,05:45-05:59PM,18
Aug,Thursday,06:00-06:15PM,25
Aug,Thursday,06:15-06:30PM,23
Aug,Thursday,06:30-06:45PM,20
Aug,Thursday,06:45-06:59PM,19
Aug,Thursday,07:00-07:15PM,20
Aug,Thursday,07:15-07:30PM,20
Aug,Thursday,07:30-07:45PM,11
Aug,Thursday,07:45-07:59PM,29
Aug,Thursday,08:00-08:15PM,21
Aug,Thursday,08:15-08:30PM,13
Aug,Thursday,08:30-08:45PM,12
Aug,Thursday,08:45-08:59PM,18
Aug,Thursday,09:00-09:15PM,16
Aug,Thursday,09:15-09:30PM,7
Aug,Friday,05:45-05:59AM,3
Aug,Friday,06:00-06:15AM,4
Aug,Friday,06:30-06:45AM,7
Aug,Friday,06:45-06:59AM,4
Aug,Friday,07:00-07:15AM,7
Aug,Friday,07:15-07:30AM,3
Aug,Friday,07:30-07:45AM,2
Aug,Friday,07:45-07:59AM,4
Aug,Friday,08:00-08:15AM,3
Aug,Friday,08:15-08:30AM,5
